coordinates,university,campus,suburb,candidate_ranking,rent_ranking,crime_ranking,transport_ranking,rent
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Plenty,1,0.12,0.59,0.9,392
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Macleod,2,0.11,0.51,0.96,396
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,South Morang,3,0.13,0.49,0.96,390
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Watsonia North,4,0.09,0.63,0.83,401
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Yallambie,5,0.23,0.5,0.79,340
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Yarrambat,6,0.05,0.56,0.87,450
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Lalor,7,0.19,0.32,0.96,351
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Greensborough,8,0.09,0.37,0.95,404
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Watsonia,9,0.13,0.27,0.95,385
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Reservoir,10,0.18,0.18,0.97,360
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Thomastown,11,0.21,0.15,0.96,350
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Epping,12,0.17,0.18,0.96,361
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Mill Park,13,0.17,0.3,0.81,366
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Kingsbury,14,0.17,0.14,0.93,361
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Preston,15,0.12,0.12,0.98,392
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Heidelberg West,16,0.28,0.06,0.85,306
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Murrumbeena,1,0.13,0.45,1.0,386
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Carnegie,2,0.12,0.42,1.0,395
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Wheelers Hill,3,0.03,0.55,0.9,481
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Mount waverley,4,0.03,0.43,0.96,476
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Notting Hill,5,0.16,0.32,0.94,371
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Oakleigh east,6,0.07,0.4,0.94,425
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Burwood,7,0.08,0.38,0.92,411
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Clayton South,8,0.14,0.24,1.0,381
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Glen Waverley,9,0.03,0.36,0.98,480
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Bentleigh east,10,0.02,0.53,0.8,500
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Springvale,11,0.18,0.14,0.99,357
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Clarinda,12,0.12,0.43,0.73,394
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Huntingdale,13,0.1,0.25,0.89,400
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Ashburton,14,0.04,0.24,0.96,455
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Malvern East,15,0.07,0.19,0.97,421
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Chadstone,16,0.07,0.21,0.9,421
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Oakleigh,17,0.09,0.09,0.99,410
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Ashwood,18,0.12,0.19,0.83,391
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Scoresby,19,0.09,0.2,0.79,406
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Mulgrave,20,0.06,0.24,0.77,430
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Hawthorn,1,0.1,0.29,0.99,400
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Kensington,2,0.08,0.29,0.99,416
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Flemington,3,0.3,0.09,0.92,300
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Footscray,4,0.18,0.07,1.0,355
"-37.808206032339776, 144.96373474983307",RMIT,CBD,North Melbourne,5,0.14,0.11,0.97,381
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Carlton,6,0.17,0.1,0.92,365
"-37.808206032339776, 144.96373474983307",RMIT,CBD,South Yarra,7,0.08,0.11,0.99,415
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Middle park,8,0.01,0.24,0.92,602
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Parkville,9,0.12,0.07,0.97,396
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Albert Park,10,0.01,0.21,0.92,590
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Abbotsford,11,0.06,0.07,1.0,425
"-37.808206032339776, 144.96373474983307",RMIT,CBD,West Melbourne,12,0.13,0.06,0.93,388
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Richmond,13,0.05,0.08,0.97,441
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Docklands,14,0.08,0.05,0.95,411
"-37.808206032339776, 144.96373474983307",RMIT,CBD,East Melbourne,15,0.03,0.04,1.0,480
"-37.808206032339776, 144.96373474983307",RMIT,CBD,East Melbourne,16,0.03,0.04,1.0,480
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Collingwood,17,0.06,0.05,0.94,425
"-37.808206032339776, 144.96373474983307",RMIT,CBD,South Melbourne,18,0.07,0.05,0.92,421
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Port Melbourne,19,0.01,0.11,0.92,540
"-37.808206032339776, 144.96373474983307",RMIT,CBD,Fitzroy,20,0.04,0.05,0.95,451
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Surrey Hills,1,0.03,0.57,0.98,462
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Balwyn North,2,0.01,0.61,0.92,554
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Balwyn,3,0.04,0.57,0.92,451
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Glen Iris,4,0.05,0.5,0.97,450
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Canterbury,5,0.01,0.48,0.98,515
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Hawthorn East,6,0.08,0.37,0.98,415
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Armadale,7,0.07,0.36,0.99,421
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Kew East,8,0.03,0.47,0.92,471
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Mont Albert,9,0.04,0.38,0.98,451
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Camberwell,10,0.02,0.39,0.96,486
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Malvern,11,0.05,0.31,0.95,450
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Toorak,12,0.02,0.27,0.97,486
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Kew,13,0.03,0.29,0.92,476
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,South Yarra,14,0.08,0.11,0.99,415
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Kooyong,15,0.01,0.19,0.97,590
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Melbourne,16,0.14,0.02,1.0,381
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Abbotsford,17,0.06,0.07,1.0,425
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Burnley,18,0.05,0.07,1.0,440
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Richmond,19,0.05,0.08,0.97,441
"-37.82072257848187, 145.03840511677043",Swinburne University of Technology,Hawthorn,Cremorne,20,0.01,0.11,0.91,550
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Hawthorn,1,0.1,0.29,0.99,400
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Kensington,2,0.08,0.29,0.99,416
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Flemington,3,0.3,0.09,0.92,300
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Footscray,4,0.18,0.07,1.0,355
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,North Melbourne,5,0.14,0.11,0.97,381
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Carlton,6,0.17,0.1,0.92,365
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,South Yarra,7,0.08,0.11,0.99,415
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Middle park,8,0.01,0.24,0.92,602
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Parkville,9,0.12,0.07,0.97,396
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Albert Park,10,0.01,0.21,0.92,590
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Abbotsford,11,0.06,0.07,1.0,425
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,West Melbourne,12,0.13,0.06,0.93,388
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Richmond,13,0.05,0.08,0.97,441
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Docklands,14,0.08,0.05,0.95,411
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,East Melbourne,15,0.03,0.04,1.0,480
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,East Melbourne,16,0.03,0.04,1.0,480
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Collingwood,17,0.06,0.05,0.94,425
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,South Melbourne,18,0.07,0.05,0.92,421
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Port Melbourne,19,0.01,0.11,0.92,540
"-37.798345879755125, 144.9608881670303",University of Melbourne,Parkville,Fitzroy,20,0.04,0.05,0.95,451
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Tottenham,1,0.71,0.0,0.87,150
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Avondale Heights,2,0.1,0.52,0.86,400
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Aberfeldie,3,0.05,0.48,0.91,440
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Travancore,4,0.19,0.29,0.92,351
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Yarraville,5,0.03,0.38,0.98,462
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,West Footscray,6,0.19,0.25,0.95,351
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Kensington,7,0.08,0.29,0.99,416
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Ascot Vale,8,0.16,0.2,0.98,370
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Flemington,9,0.3,0.09,0.92,300
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Moonee Ponds,10,0.11,0.21,0.99,400
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Sunshine North,11,0.22,0.11,0.96,341
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Sunshine,12,0.23,0.04,1.0,340
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Essendon West,13,0.05,0.56,0.64,450
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,North Melbourne,14,0.14,0.11,0.97,381
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Parkville,15,0.12,0.07,0.97,396
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,Melbourne,16,0.14,0.02,1.0,381
"-37.79371434526608, 144.89849564004695",Victoria University,Footscray,West Melbourne,17,0.13,0.06,0.93,388
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Hawthorn,1,0.1,0.29,0.99,400
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Kensington,2,0.08,0.29,0.99,416
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Flemington,3,0.3,0.09,0.92,300
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Footscray,4,0.18,0.07,1.0,355
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,North Melbourne,5,0.14,0.11,0.97,381
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Carlton,6,0.17,0.1,0.92,365
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,South Yarra,7,0.08,0.11,0.99,415
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Middle park,8,0.01,0.24,0.92,602
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Parkville,9,0.12,0.07,0.97,396
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Albert Park,10,0.01,0.21,0.92,590
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Abbotsford,11,0.06,0.07,1.0,425
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,West Melbourne,12,0.13,0.06,0.93,388
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Richmond,13,0.05,0.08,0.97,441
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Docklands,14,0.08,0.05,0.95,411
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,East Melbourne,15,0.03,0.04,1.0,480
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,East Melbourne,16,0.03,0.04,1.0,480
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Collingwood,17,0.06,0.05,0.94,425
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,South Melbourne,18,0.07,0.05,0.92,421
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Port Melbourne,19,0.01,0.11,0.92,540
"-37.806734068408865, 144.97780534798017",Australian Catholic University,CBD,Fitzroy,20,0.04,0.05,0.95,451
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Hawthorn,1,0.1,0.29,0.99,400
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Kensington,2,0.08,0.29,0.99,416
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Flemington,3,0.3,0.09,0.92,300
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Footscray,4,0.18,0.07,1.0,355
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,North Melbourne,5,0.14,0.11,0.97,381
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Carlton,6,0.17,0.1,0.92,365
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,South Yarra,7,0.08,0.11,0.99,415
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Middle park,8,0.01,0.24,0.92,602
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Parkville,9,0.12,0.07,0.97,396
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Albert Park,10,0.01,0.21,0.92,590
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Abbotsford,11,0.06,0.07,1.0,425
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,West Melbourne,12,0.13,0.06,0.93,388
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Richmond,13,0.05,0.08,0.97,441
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Docklands,14,0.08,0.05,0.95,411
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,East Melbourne,15,0.03,0.04,1.0,480
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,East Melbourne,16,0.03,0.04,1.0,480
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Collingwood,17,0.06,0.05,0.94,425
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,South Melbourne,18,0.07,0.05,0.92,421
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81278575281138, 144.9611392818542",Charles Darwin University,CBD,Fitzroy,20,0.04,0.05,0.95,451
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Hawthorn,1,0.1,0.29,0.99,400
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Kensington,2,0.08,0.29,0.99,416
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Flemington,3,0.3,0.09,0.92,300
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Footscray,4,0.18,0.07,1.0,355
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,North Melbourne,5,0.14,0.11,0.97,381
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Carlton,6,0.17,0.1,0.92,365
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,South Yarra,7,0.08,0.11,0.99,415
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Middle park,8,0.01,0.24,0.92,602
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Parkville,9,0.12,0.07,0.97,396
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Albert Park,10,0.01,0.21,0.92,590
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Abbotsford,11,0.06,0.07,1.0,425
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,West Melbourne,12,0.13,0.06,0.93,388
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Richmond,13,0.05,0.08,0.97,441
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Docklands,14,0.08,0.05,0.95,411
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,East Melbourne,15,0.03,0.04,1.0,480
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,East Melbourne,16,0.03,0.04,1.0,480
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Collingwood,17,0.06,0.05,0.94,425
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,South Melbourne,18,0.07,0.05,0.92,421
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81799302167178, 144.95486288185438",CQUniversity,CBD,Fitzroy,20,0.04,0.05,0.95,451
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Surrey Hills,1,0.03,0.57,0.98,462
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Vermont,2,0.06,0.6,0.91,426
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Blackburn South,3,0.08,0.56,0.91,410
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Blackburn,4,0.08,0.48,0.99,411
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Balwyn,5,0.04,0.57,0.92,451
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Glen Iris,6,0.05,0.5,0.97,450
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Canterbury,7,0.01,0.48,0.98,515
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Forest Hill,8,0.11,0.39,0.95,396
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Mont Albert,9,0.04,0.38,0.98,451
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Camberwell,10,0.02,0.39,0.96,486
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Glen Waverley,11,0.03,0.36,0.98,480
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Box Hill South,12,0.06,0.4,0.9,425
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Vermont South,13,0.02,0.39,0.92,496
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Box hill,14,0.14,0.14,1.0,381
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Ashburton,15,0.04,0.24,0.96,455
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Malvern East,16,0.07,0.19,0.97,421
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Chadstone,17,0.07,0.21,0.9,421
"-37.84429493400839, 145.11277056442717",Deakin University,Burwood,Ashwood,18,0.12,0.19,0.83,391
"-37.816205766036134, 144.96282729719897",La Trobe University,Collins Street,Hawthorn,1,0.1,0.29,0.99,400
"-37.816205766036134, 144.96282729719897",La Trobe University,Collins Street,Kensington,2,0.08,0.29,0.99,416
"-37.816205766036134, 144.96282729719897",La Trobe University,Collins Street,Flemington,3,0.3,0.09,0.92,300
